DHSID_EA,most_relevant_sentences
GY-2009-5Z-00000009,tt The centre was funded by CONCACAF's development money for a four-year presidential term and also required funding from FIFA
GY-2009-5Z-00000235,"His intention was to exploit the resources of Berbice by trading with the indigenous Amerindians. In return for the permission that was granted to Van Pere, he was asked to give the Dutch West India Company one-fifth of his income from the sale of gold, silver and other precious stones"
GY-2009-5Z-00000191,"A rich clay of great fertility, this mud overlays the white sands and clays formed from the erosion of the interior bedrock and carried seaward by the rivers of Guyana. Characteristics Geographic coordinates: thumb|200 px|Economic activity map of Guyana Area Total: 214,969 km² Land: 196,849 km² Water: 18,120 km² Land boundaries Total: 2,933 km Border countries: Brazil 1,308 km, Suriname 836 km, Venezuela 789 km Coastline Maritime claims Territorial sea: Exclusive economic zone: and Continental shelf: or to the outer edge of the continental margin Terrain Mostly rolling highlands; low coastal plain; savanna in south. Elevation extremes Lowest point: Atlantic Coast, -1 m Highest point: Mount Roraima, 2,835 m Natural resources Bauxite, gold, diamonds, hardwood timber, shrimp, fish. 72% Irrigated land 1,501 km² (2003) Total renewable water resources 241 km3 (2011) Freshwater withdrawal (domestic/industrial/agricultural) Total: 1"
GY-2009-5Z-00000009,tt The centre was funded by CONCACAF's development money for a four-year presidential term and also required funding from FIFA
GY-2009-5Z-00000186,"Contributing factors were weaknesses of the flight crew's resource management, their loss of situational awareness, their inadequate coordination during the decision-making process to deal with abnormal situations in flight, their lack of knowledge of the stall warning system, and their mishandling of the flight controls"
GY-2009-5Z-00000222,"The Fort, which no longer exists today, had the main purpose of providing the Portuguese with the total sovereignty of Portugal over the lands of the Branco River Valley, which aroused international greed due to its little exploitation. This disorderly immigration and exploitation resulted in many conflicts and deaths due to illnesses and murders in the locality. Mountainous region (Região Serrana): with typical mountainous vegetation, thinner trees and valleys rich in humus with good-quality grass for livestock. 2% Ethnicity Cultural, political and economic traits inherited from the Portuguese, Spanish and Dutch are influential in Roraima. It is said that the state works in the so-called “paycheck economy”, when there is a circulation mainly of the amounts paid in salaries to public servants and private employees of commerce. In livestock, the live cattle trade for slaughter in Manaus was, until the 1970s, the main economic base. thumb|Brazil nuts after shell removal Roraima has always occupied a secondary position in the economic geography of the Amazon when it comes to plant extractivism, producing Brazil nuts, rowanberries and wood. In 2019 the illiteracy rate in the state was 5%, placing Roraima in the 7th position among the states of Brazil with the highest percentage of literate population, ahead of all states in the North and Northeast regions. A survey carried out by Portal G1 identified Roraima as one of the Brazilian states that best remunerates middle school teachers, with an average salary of R$ 2,099. According to the survey, the highest salary in the country, in the Federal District – in the amount of R $ 3,121. It has a rich handicraft in soapstone and its area is free to explore diamonds"
GY-2009-5Z-00000185,"Like many tepuis, the mountain hosts a rich assemblage of flora"
GY-2009-5Z-00000186,The donation in about 1969 included a large amount of property and pieces that were representative of his various artistic periods
GY-2009-5Z-00000294,"Also that the predictive numbers for attendance projected for the events were influenced by the accommodations of the stadium, which needed to be reevaluated, the third point raised that a financial loss was being predicted for the final day of the sports week which was an all day cycling event, according to the SVB"
GY-2009-5Z-00000294,"Several plantation owners did not pay their former enslaved workers the pay they owed them for the ten years following 1863. They paid the workers with the property rights of the ground of the plantation in order to escape their debt to the workers. Surinamese politics did degenerate into ethnic polarisation and corruption soon after independence, with the NPS using Dutch aid money for partisan purposes. The discovery and exploitation of oil and gold has added substantially to Suriname's economic independence"
GY-2009-5Z-00000141,"Land boundaries Total: Border countries: Brazil - French Guiana - Guyana - Coastline: Maritime claims Exclusive economic zone: and Territorial sea: Climate and terrain Terrain Most of the country is made up of rolling hills, but there is a narrow coastal plain that has swampy terrain. Highest point: Juliana Top - Natural resources Timber, hydropower, fish, forests, hydroelectric potential, kaolin, shrimp, bauxite and gold"
GY-2009-5Z-00000009,"Statistics thumb|right| thumb|Enlargeable comprehensive map Area:total: 5,128 km2land: 5,128 km2water: negligible Coastline: 362 km Maritime claims: contiguous zone: continental shelf: or to the outer edge of the continental marginexclusive economic zone: territorial sea: Terrain: mostly plains with some hills and low mountains Extreme points: Northernmost point: Marble Island, Tobago Southernmost point: Icacos, Siparia region, Trinidad Island Westernmost point: Icacos, Siparia region, Trinidad Island Easternmost point: Easternmost tip of Little Tobago, Tobago Lowest point: Caribbean Sea 0 m Highest point: El Cerro del Aripo, Trinidad 940 m Natural resources: petroleum, natural gas, asphalt Land use: arable land: 4"
GY-2009-5Z-00000009,"By June 27, 1912, the land was officially Benedictine property. The monks were welcomed by the nearby Parish of Arouca and were housed there until receiving more monks to begin construction of their property. Brother Kleinmann, a carpenter, began to convert the small hut existing on the property into two rooms, an oratory, and a dormitory"
GY-2009-5Z-00000009,"Commercial and subsistence hunting and overuse for tourism pose threats to biodiversity, while the chytrid fungus Batrachochytrium dendrobatidis poses a threat to endemic amphibians"
GY-2009-5Z-00000186,The donation in about 1969 included a large amount of property and pieces that were representative of his various artistic periods
GY-2009-5Z-00000294,"Also that the predictive numbers for attendance projected for the events were influenced by the accommodations of the stadium, which needed to be reevaluated, the third point raised that a financial loss was being predicted for the final day of the sports week which was an all day cycling event, according to the SVB"
GY-2009-5Z-00000294,"Several plantation owners did not pay their former enslaved workers the pay they owed them for the ten years following 1863. They paid the workers with the property rights of the ground of the plantation in order to escape their debt to the workers. Surinamese politics did degenerate into ethnic polarisation and corruption soon after independence, with the NPS using Dutch aid money for partisan purposes. The discovery and exploitation of oil and gold has added substantially to Suriname's economic independence"
GY-2009-5Z-00000141,"Land boundaries Total: Border countries: Brazil - French Guiana - Guyana - Coastline: Maritime claims Exclusive economic zone: and Territorial sea: Climate and terrain Terrain Most of the country is made up of rolling hills, but there is a narrow coastal plain that has swampy terrain. Highest point: Juliana Top - Natural resources Timber, hydropower, fish, forests, hydroelectric potential, kaolin, shrimp, bauxite and gold"
GY-2009-5Z-00000009,"Statistics thumb|right| thumb|Enlargeable comprehensive map Area:total: 5,128 km2land: 5,128 km2water: negligible Coastline: 362 km Maritime claims: contiguous zone: continental shelf: or to the outer edge of the continental marginexclusive economic zone: territorial sea: Terrain: mostly plains with some hills and low mountains Extreme points: Northernmost point: Marble Island, Tobago Southernmost point: Icacos, Siparia region, Trinidad Island Westernmost point: Icacos, Siparia region, Trinidad Island Easternmost point: Easternmost tip of Little Tobago, Tobago Lowest point: Caribbean Sea 0 m Highest point: El Cerro del Aripo, Trinidad 940 m Natural resources: petroleum, natural gas, asphalt Land use: arable land: 4"
GY-2009-5Z-00000009,"By June 27, 1912, the land was officially Benedictine property. The monks were welcomed by the nearby Parish of Arouca and were housed there until receiving more monks to begin construction of their property. Brother Kleinmann, a carpenter, began to convert the small hut existing on the property into two rooms, an oratory, and a dormitory"
GY-2009-5Z-00000009,"Commercial and subsistence hunting and overuse for tourism pose threats to biodiversity, while the chytrid fungus Batrachochytrium dendrobatidis poses a threat to endemic amphibians"
GY-2009-5Z-00000186,"Contributing factors were weaknesses of the flight crew's resource management, their loss of situational awareness, their inadequate coordination during the decision-making process to deal with abnormal situations in flight, their lack of knowledge of the stall warning system, and their mishandling of the flight controls"
GY-2009-5Z-00000294,Latour is a low income neighbourhood with large unemployment
GY-2009-5Z-00000191,"A rich clay of great fertility, this mud overlays the white sands and clays formed from the erosion of the interior bedrock and carried seaward by the rivers of Guyana. Characteristics Geographic coordinates: thumb|200 px|Economic activity map of Guyana Area Total: 214,969 km² Land: 196,849 km² Water: 18,120 km² Land boundaries Total: 2,933 km Border countries: Brazil 1,308 km, Suriname 836 km, Venezuela 789 km Coastline Maritime claims Territorial sea: Exclusive economic zone: and Continental shelf: or to the outer edge of the continental margin Terrain Mostly rolling highlands; low coastal plain; savanna in south. Elevation extremes Lowest point: Atlantic Coast, -1 m Highest point: Mount Roraima, 2,835 m Natural resources Bauxite, gold, diamonds, hardwood timber, shrimp, fish. 72% Irrigated land 1,501 km² (2003) Total renewable water resources 241 km3 (2011) Freshwater withdrawal (domestic/industrial/agricultural) Total: 1"
GY-2009-5Z-00000009,tt The centre was funded by CONCACAF's development money for a four-year presidential term and also required funding from FIFA
